Faculty_id,Name,Week_Day,Period,Class,Room_Number,Subject,Phone
F004,Anjali,THURSDAY,3,IT A,406,Data Structures,9876543243
F004,Anjali,THURSDAY,4,IT B,407,Algorithms,9876543243
F004,Anjali,THURSDAY,5,IT A,408,SE,9876543243
F004,Anjali,THURSDAY,6,IT B,409,SE Lab,9876543243

F004,Anjali,FRIDAY,1,IT A,502,SE,9876543243
F004,Anjali,FRIDAY,2,IT B,503,SE Lab,9876543243
F004,Anjali,FRIDAY,3,IT A,504,Data Structures,9876543243
F004,Anjali,FRIDAY,4,IT B,505,Algorithms,9876543243
F004,Anjali,FRIDAY,5,IT A,506,SE,9876543243
F004,Anjali,FRIDAY,6,IT B,507,SE Lab,9876543243
